Dimensiune, Algoritm, Random, Sortat, Reverse, Jumatate Sortat, Aproape Sortat
10,Bubble Sort,0.000001,0.000001,0.000001,0.000001,0.000001
10,Selection Sort,0.000001,0.000001,0.000001,0.000001,0.000001
10,Insertion Sort,0.000001,0.000000,0.000001,0.000001,0.000001
10,Merge Sort,0.000006,0.000006,0.000006,0.000036,0.000012
10,Quick Sort,0.000001,0.000002,0.000001,0.000001,0.000001
10,Count Sort,0.000238,0.000008,0.000009,0.000101,0.000099
10,Radix Sort,0.000007,0.000006,0.000006,0.000008,0.000006
10,Heap Sort,0.000002,0.000002,0.000001,0.000002,0.000001
20,Bubble Sort,0.000003,0.000001,0.000002,0.000001,0.000002
20,Selection Sort,0.000002,0.000001,0.000002,0.000002,0.000002
20,Insertion Sort,0.000001,0.000000,0.000002,0.000001,0.000001
20,Merge Sort,0.000011,0.000009,0.000008,0.000013,0.000012
20,Quick Sort,0.000002,0.000002,0.000002,0.000002,0.000002
20,Count Sort,0.000112,0.000068,0.000009,0.000193,0.000056
20,Radix Sort,0.000010,0.000009,0.000009,0.000011,0.000009
20,Heap Sort,0.000003,0.000003,0.000002,0.000003,0.000003
50,Bubble Sort,0.000012,0.000004,0.000009,0.000006,0.000005
50,Selection Sort,0.000007,0.000004,0.000005,0.000004,0.000004
50,Insertion Sort,0.000004,0.000001,0.000004,0.000002,0.000002
50,Merge Sort,0.000018,0.000013,0.000025,0.000025,0.000029
50,Quick Sort,0.000006,0.000002,0.000002,0.000003,0.000003
50,Count Sort,0.000203,0.000060,0.000009,0.000176,0.000058
50,Radix Sort,0.000013,0.000010,0.000012,0.000014,0.000009
50,Heap Sort,0.000007,0.000006,0.000006,0.000007,0.000007
100,Bubble Sort,0.000033,0.000011,0.000031,0.000017,0.000022
100,Selection Sort,0.000018,0.000014,0.000012,0.000013,0.000011
100,Insertion Sort,0.000010,0.000001,0.000016,0.000004,0.000003
100,Merge Sort,0.000029,0.000036,0.000040,0.000047,0.000047
100,Quick Sort,0.000014,0.000003,0.000003,0.000008,0.000004
100,Count Sort,0.000189,0.000064,0.000009,0.000205,0.000058
100,Radix Sort,0.000016,0.000011,0.000015,0.000016,0.000011
100,Heap Sort,0.000014,0.000013,0.000012,0.000015,0.000016
200,Bubble Sort,0.000127,0.000039,0.000105,0.000080,0.000055
200,Selection Sort,0.000090,0.000045,0.000055,0.000059,0.000053
200,Insertion Sort,0.000039,0.000001,0.000069,0.000011,0.000008
200,Merge Sort,0.000086,0.000058,0.000075,0.000050,0.000049
200,Quick Sort,0.000024,0.000004,0.000004,0.000015,0.000011
200,Count Sort,0.000174,0.000061,0.000013,0.000190,0.000062
200,Radix Sort,0.000024,0.000018,0.000017,0.000024,0.000015
200,Heap Sort,0.000031,0.000028,0.000027,0.000051,0.000029
500,Bubble Sort,0.000570,0.000229,0.000585,0.000405,0.000359
500,Selection Sort,0.000371,0.000225,0.000235,0.000238,0.000290
500,Insertion Sort,0.000151,0.000002,0.000358,0.000044,0.000061
500,Merge Sort,0.000131,0.000094,0.000094,0.000110,0.000095
500,Quick Sort,0.000064,0.000009,0.000012,0.000040,0.000028
500,Count Sort,0.000199,0.000061,0.000026,0.000174,0.000066
500,Radix Sort,0.000044,0.000037,0.000030,0.000043,0.000029
500,Heap Sort,0.000087,0.000092,0.000074,0.000086,0.000080
1000,Bubble Sort,0.002234,0.000909,0.003112,0.001293,0.001575
1000,Selection Sort,0.001352,0.000863,0.001446,0.000887,0.001030
1000,Insertion Sort,0.000579,0.000003,0.001231,0.000160,0.000163
1000,Merge Sort,0.000247,0.000230,0.000172,0.000247,0.000225
1000,Quick Sort,0.000165,0.000015,0.000017,0.000100,0.000051
1000,Count Sort,0.000230,0.000039,0.000022,0.000219,0.000044
1000,Radix Sort,0.000076,0.000050,0.000062,0.000077,0.000049
1000,Heap Sort,0.000194,0.000176,0.000157,0.000187,0.000202
2000,Bubble Sort,0.006955,0.004003,0.010314,0.004897,0.005490
2000,Selection Sort,0.005049,0.004323,0.003361,0.003622,0.003529
2000,Insertion Sort,0.002336,0.000008,0.004696,0.000671,0.000597
2000,Merge Sort,0.000667,0.000340,0.000381,0.000452,0.000453
2000,Quick Sort,0.000287,0.000039,0.000057,0.000192,0.000094
2000,Count Sort,0.000329,0.000052,0.000036,0.000269,0.000055
2000,Radix Sort,0.000271,0.000118,0.000116,0.000143,0.000115
2000,Heap Sort,0.000506,0.000325,0.000397,0.000444,0.000451
5000,Bubble Sort,0.041716,0.025246,0.057902,0.032810,0.036342
5000,Selection Sort,0.020776,0.020568,0.020917,0.020512,0.019673
5000,Insertion Sort,0.013725,0.000015,0.027182,0.004808,0.004452
5000,Merge Sort,0.001625,0.001164,0.000806,0.001432,0.001007
5000,Quick Sort,0.000801,0.000092,0.000110,0.000618,0.000240
5000,Count Sort,0.000243,0.000079,0.000074,0.000170,0.000075
5000,Radix Sort,0.000551,0.000282,0.000386,0.000490,0.000280
5000,Heap Sort,0.001172,0.001144,0.001521,0.001166,0.000953
10000,Bubble Sort,0.164785,0.092995,0.231893,0.121798,0.123956
10000,Selection Sort,0.079277,0.081042,0.083106,0.077474,0.079445
10000,Insertion Sort,0.055086,0.000191,0.103022,0.017594,0.013427
10000,Merge Sort,0.002956,0.001647,0.001583,0.002634,0.002116
10000,Quick Sort,0.001600,0.000199,0.000182,0.001183,0.000539
10000,Count Sort,0.000445,0.000145,0.000140,0.000225,0.000193
10000,Radix Sort,0.000714,0.001110,0.000998,0.000666,0.000902
10000,Heap Sort,0.002556,0.001720,0.001691,0.002215,0.002289
20000,Bubble Sort,0.646106,0.332691,0.971185,0.495714,0.511626
20000,Selection Sort,0.313768,0.305816,0.345234,0.311190,0.307291
20000,Insertion Sort,0.217159,0.000054,0.427038,0.087757,0.049207
20000,Merge Sort,0.005320,0.003588,0.003704,0.004434,0.004166
20000,Quick Sort,0.003354,0.000363,0.000397,0.002414,0.001090
20000,Count Sort,0.000499,0.000297,0.000270,0.000418,0.000368
20000,Radix Sort,0.001444,0.001389,0.002286,0.001390,0.001375
20000,Heap Sort,0.005223,0.003981,0.004609,0.005524,0.005556
50000,Bubble Sort,4.332576,2.147433,5.894900,3.619970,2.888621
50000,Selection Sort,1.918763,1.920150,2.089551,1.907426,1.961546
50000,Insertion Sort,1.359562,0.000209,2.839150,0.857258,0.197796
50000,Merge Sort,0.016013,0.009749,0.008366,0.010733,0.009093
50000,Quick Sort,0.007821,0.000890,0.001196,0.006415,0.002442
50000,Count Sort,0.000741,0.000664,0.000881,0.000596,0.000628
50000,Radix Sort,0.003205,0.003235,0.003067,0.003087,0.003090
50000,Heap Sort,0.014823,0.012702,0.010043,0.013001,0.011271
100000,Bubble Sort,25.906862,8.543627,23.658054,18.092453,9.886826
100000,Selection Sort,7.790449,7.637594,8.278292,7.713853,7.691390
100000,Insertion Sort,5.341309,0.000367,10.765410,4.909308,0.307203
100000,Merge Sort,0.037654,0.016778,0.016677,0.022035,0.017918
100000,Quick Sort,0.016207,0.002119,0.002223,0.013990,0.005028
100000,Count Sort,0.001698,0.001638,0.001417,0.001157,0.001467
100000,Radix Sort,0.006766,0.007024,0.007478,0.006417,0.007647
100000,Heap Sort,0.030120,0.021850,0.021005,0.026420,0.023247
200000,Merge Sort,0.058404,0.036088,0.031487,0.045457,0.035467
200000,Quick Sort,0.031978,0.004500,0.004509,0.029073,0.008361
200000,Count Sort,0.002556,0.003326,0.002850,0.002792,0.003094
200000,Radix Sort,0.012566,0.015143,0.015577,0.012640,0.015841
200000,Heap Sort,0.065082,0.044064,0.044471,0.060009,0.050540
500000,Merge Sort,0.148518,0.083644,0.083910,0.117173,0.089044
500000,Quick Sort,0.078904,0.010708,0.011135,0.053811,0.015965
500000,Count Sort,0.006626,0.008697,0.007493,0.007326,0.010319
500000,Radix Sort,0.038045,0.044706,0.044774,0.044180,0.045484
500000,Heap Sort,0.175341,0.114618,0.115188,0.145670,0.121256
1000000,Merge Sort,0.312358,0.168353,0.175118,0.257617,0.181030
1000000,Quick Sort,0.155267,0.023441,0.027044,0.135529,0.025962
1000000,Count Sort,0.013632,0.018292,0.015665,0.016571,0.024291
1000000,Radix Sort,0.071547,0.088085,0.100825,0.091615,0.091012
1000000,Heap Sort,0.377460,0.239343,0.247539,0.313517,0.243315
